,asset,latitude,longitude,time,SPEED,HEADING,REASONS,DISTANCE_TRAVELED,ODOMETER,LOADTS,STATUS
196533,185,39.200973,-84.579462,1/30/2018 11:23,0.0,SEE,12,0.0,27931.3,1/30/2018 11:23,8223
196577,185,39.192529,-84.567267,1/30/2018 11:37,23.1,SEE,7,0.2,27932.4,1/30/2018 11:37,31
196579,185,39.180642,-84.566769,1/30/2018 11:11,24.7,NNW,7,0.3,27932.3,1/30/2018 11:11,31
196588,185,39.200973,-84.579462,1/30/2018 11:24,0.0,SEE,7,-0.9,27930.4,1/30/2018 11:24,31
196595,185,39.193181,-84.571663,1/30/2018 11:31,0.0,N,7,0.0,27932.2,1/30/2018 11:31,31
196601,185,39.194583,-84.566507,1/30/2018 11:29,33.3,S,12,1.4,27931.8,1/30/2018 11:29,8223
196602,185,39.199179,-84.578581,1/30/2018 11:15,0.0,NNW,12,-0.8,27931.2,1/30/2018 11:15,8223
196609,185,39.180278,-84.556546,1/30/2018 11:39,26.7,SSE,12,1.3,27933.6,1/30/2018 11:39,8223
196615,185,39.189099,-84.56170300000001,1/30/2018 11:38,26.0,SEE,12,0.6,27932.8,1/30/2018 11:38,8223
196630,185,39.193317,-84.570723,1/30/2018 11:36,8.2,E,"12,10",0.0,27932.2,1/30/2018 11:36,9247
196640,185,39.199179,-84.578581,1/30/2018 11:17,0.0,NNW,12,0.0,27931.2,1/30/2018 11:17,8223
196722,185,39.193467999999996,-84.57281400000001,1/30/2018 11:13,20.5,NW,7,-1.3,27930.7,1/30/2018 11:13,31
196729,185,39.183248,-84.557236,1/30/2018 11:39,24.3,S,12,1.1,27933.4,1/30/2018 11:39,8223
196733,185,39.200973,-84.579462,1/30/2018 11:22,0.0,SEE,"12,9",0.0,27931.3,1/30/2018 11:22,9247
196734,185,39.193282,-84.571248,1/30/2018 11:32,13.1,E,12,0.0,27932.2,1/30/2018 11:32,8223
196742,185,39.193076,-84.57166,1/30/2018 11:31,0.0,SEE,9,0.0,27932.2,1/30/2018 11:31,9247
196752,185,39.201516,-84.573971,1/30/2018 11:27,23.7,E,12,0.3,27930.7,1/30/2018 11:27,8223
196758,185,39.199238,-84.578603,1/30/2018 11:19,0.0,NW,7,0.0,27931.2,1/30/2018 11:19,31
196761,185,39.181554,-84.56719100000001,1/30/2018 11:11,29.9,NNW,7,0.4,27932.4,1/30/2018 11:11,31
196764,185,39.193284999999996,-84.5699,1/30/2018 11:36,18.5,E,12,0.1,27932.3,1/30/2018 11:36,8223
196773,185,39.200973,-84.579462,1/30/2018 11:22,0.0,SEE,7,0.0,27931.3,1/30/2018 11:22,31
196823,185,39.199238,-84.578603,1/30/2018 11:19,0.0,NW,7,0.0,27931.2,1/30/2018 11:19,31
196829,185,39.193313,-84.570808,1/30/2018 11:34,0.0,E,7,0.1,27932.2,1/30/2018 11:34,31
196858,185,39.178391999999995,-84.563137,1/30/2018 11:10,30.4,NW,12,0.1,27932.1,1/30/2018 11:11,8223
196891,185,39.195676,-84.575462,1/30/2018 11:14,26.0,NW,7,-1.1,27930.9,1/30/2018 11:14,31
196911,185,39.185525,-84.557612,1/30/2018 11:38,27.4,S,12,1.0,27933.2,1/30/2018 11:38,8223
196912,185,39.199179,-84.578581,1/30/2018 11:16,0.0,NNW,7,0.0,27931.2,1/30/2018 11:16,31
196913,185,39.195772,-84.566248,1/30/2018 11:29,34.3,S,7,1.3,27931.7,1/30/2018 11:29,31
196937,185,39.191634,-84.57080500000001,1/30/2018 11:13,24.7,NNW,12,-1.5,27930.5,1/30/2018 11:13,8223
196949,185,39.200973,-84.579462,1/30/2018 11:23,0.0,SEE,7,0.0,27931.3,1/30/2018 11:23,31
197003,185,39.200496,-84.579365,1/30/2018 11:20,18.0,NNW,12,0.1,27931.3,1/30/2018 11:20,8223
197018,185,39.193313,-84.570808,1/30/2018 11:34,0.0,E,12,0.1,27932.2,1/30/2018 11:34,8223
197034,185,39.193313,-84.570808,1/30/2018 11:35,0.0,E,12,0.1,27932.2,1/30/2018 11:35,8223
197052,185,39.175606,-84.547481,1/30/2018 11:43,0.0,NW,12,0.2,27934.3,1/30/2018 11:43,8223
197058,185,39.174329,-84.547653,1/30/2018 11:54,7.7,SW,10,0.0,27930.4,1/30/2018 11:54,9247
197068,185,39.175606,-84.547481,1/30/2018 11:42,0.0,NW,12,0.2,27934.3,1/30/2018 11:42,8223
197083,185,39.175226,-84.547308,1/30/2018 11:42,19.0,NNE,7,0.2,27934.3,1/30/2018 11:42,31
197087,185,39.17686,-84.549675,1/30/2018 11:48,8.2,NW,12,0.2,27934.4,1/30/2018 11:48,8223
197095,185,39.175606,-84.547481,1/30/2018 11:43,0.0,NW,7,0.2,27934.3,1/30/2018 11:43,31
197110,185,39.175606,-84.547481,1/30/2018 11:47,0.0,NW,7,0.0,27934.3,1/30/2018 11:47,31
197118,185,39.17458,-84.547619,1/30/2018 11:51,0.0,SSW,7,0.0,27930.4,1/30/2018 11:51,31
197122,185,39.17458,-84.547619,1/30/2018 11:51,0.0,SSW,12,0.0,27930.4,1/30/2018 11:51,8223
197123,185,39.17458,-84.547619,1/30/2018 11:51,0.0,SSW,12,0.0,27930.4,1/30/2018 11:51,8223
197134,185,39.175606,-84.547481,1/30/2018 11:45,0.0,NW,7,0.2,27934.3,1/30/2018 11:45,31
197151,185,39.17458,-84.547619,1/30/2018 11:50,0.0,SSW,"12,9",-3.9,27930.4,1/30/2018 11:50,9247
197173,185,39.17458,-84.547619,1/30/2018 11:52,0.0,SSW,12,0.0,27930.4,1/30/2018 11:52,8223
197183,185,39.175567,-84.54740699999999,1/30/2018 11:42,6.0,NWW,7,0.2,27934.3,1/30/2018 11:42,31
197188,185,39.174368,-84.547624,1/30/2018 11:54,0.0,SSW,7,0.0,27930.4,1/30/2018 11:54,31
197192,185,39.175606,-84.547481,1/30/2018 11:45,0.0,NW,7,0.2,27934.3,1/30/2018 11:45,31
197210,185,39.169393,-84.547983,1/30/2018 11:55,16.3,SSW,12,0.4,27930.8,1/30/2018 11:55,8223
197214,185,39.17458,-84.547619,1/30/2018 11:50,0.0,SSW,7,-3.9,27930.4,1/30/2018 11:50,31
197216,185,39.174432,-84.54764200000001,1/30/2018 11:42,19.0,NNE,7,0.1,27934.2,1/30/2018 11:42,31
197232,185,39.1744,-84.548059,1/30/2018 11:42,0.0,SSE,7,0.1,27934.2,1/30/2018 11:42,31
197236,185,39.175606,-84.547481,1/30/2018 11:47,0.0,NW,7,0.0,27934.3,1/30/2018 11:47,31
197257,185,39.175606,-84.547481,1/30/2018 11:42,0.0,NW,7,0.2,27934.3,1/30/2018 11:42,31
197273,185,39.175606,-84.547481,1/30/2018 11:46,0.0,NW,12,0.0,27934.3,1/30/2018 11:47,8223
197300,185,39.175606,-84.547481,1/30/2018 11:44,0.0,NW,7,0.2,27934.3,1/30/2018 11:44,31
197302,185,39.17458,-84.547619,1/30/2018 11:52,0.0,SSW,7,0.0,27930.4,1/30/2018 11:52,31
197334,185,39.17458,-84.547619,1/30/2018 11:52,0.0,SSW,12,0.0,27930.4,1/30/2018 11:52,8223
197342,185,39.175606,-84.547481,1/30/2018 11:44,0.0,NW,7,0.2,27934.3,1/30/2018 11:44,31
197344,185,39.175098999999996,-84.547411,1/30/2018 11:49,0.0,SSW,9,-3.9,27930.4,1/30/2018 11:49,42015
197349,185,39.175606,-84.547481,1/30/2018 11:43,0.0,NW,12,0.2,27934.3,1/30/2018 11:43,8223
197353,185,39.176301,-84.548755,1/30/2018 11:49,15.5,SE,7,0.3,27934.5,1/30/2018 11:49,31
197354,185,39.175933,-84.548107,1/30/2018 11:48,14.7,NW,7,0.1,27934.3,1/30/2018 11:48,31
197366,185,39.167916999999996,-84.54875600000001,1/30/2018 11:55,19.2,SSW,12,0.5,27930.9,1/30/2018 11:55,8223
197375,185,39.175606,-84.547481,1/30/2018 11:45,0.0,NW,"12,9",0.2,27934.3,1/30/2018 11:45,9247
197383,185,39.175539,-84.54744000000001,1/30/2018 11:49,0.0,SE,12,0.3,27934.6,1/30/2018 11:49,8223
197404,185,39.17458,-84.547619,1/30/2018 11:52,0.0,SSW,12,0.0,27930.4,1/30/2018 11:52,8223
197419,185,39.175606,-84.547481,1/30/2018 11:44,0.0,NW,7,0.2,27934.3,1/30/2018 11:44,31
197424,185,39.17458,-84.547619,1/30/2018 11:50,0.0,SSW,7,-3.9,27930.4,1/30/2018 11:50,31
197430,185,39.175606,-84.547481,1/30/2018 11:46,0.0,NW,12,0.0,27934.3,1/30/2018 11:47,8223
197442,185,39.169985,-84.547671,1/30/2018 11:55,18.8,SSW,12,0.3,27930.7,1/30/2018 11:55,8223
197490,185,39.175606,-84.547481,1/30/2018 11:44,0.0,NW,12,0.2,27934.3,1/30/2018 11:44,8223
197496,185,39.17458,-84.547619,1/30/2018 11:52,0.0,SSW,7,0.0,27930.4,1/30/2018 11:52,31
